n00001740	entity
n02247076	Trialeurodes, genus Trialeurodes
n02247216	greenhouse whitefly, Trialeurodes vaporariorum
n02247363	Bemisia, genus Bemisia
n02247511	sweet-potato whitefly
n02247655	superbug, Bemisia tabaci, poinsettia strain
n02247950	superbug
n02248062	cotton strain
n02248147	Coccoidea, superfamily Coccoidea
n02248368	coccid insect
n02248510	scale insect
n02248744	Coccidae, family Coccidae
n02248887	soft scale
n02249011	genus Coccus
n02249134	brown soft scale, Coccus hesperidum
n02249256	wax insect
n02249365	Diaspididae, family Diaspididae
n02249515	armored scale
n02249673	Aspidiotus, genus Aspidiotus
n02249809	San Jose scale, Aspidiotus perniciosus
n02249995	Dactylopiidae, family Dactylopiidae
n02250133	Dactylopius, genus Dactylopius
n02250280	cochineal insect, cochineal, Dactylopius coccus
n02250464	Pseudococcidae, family Pseudococcidae
n02250653	Pseudococcus, genus Pseudococcus
n02250822	mealybug, mealy bug
n02251067	citrophilous mealybug, citrophilus mealybug, Pseudococcus fragilis
n02251233	Comstock mealybug, Comstock's mealybug, Pseudococcus comstocki
n02251452	Planococcus, genus Planococcus
n02251593	citrus mealybug, Planococcus citri
n02251775	plant louse, louse
n02252039	Aphidoidea, superfamily Aphidoidea
n02252226	aphid
n02252429	Aphididae, family Aphididae
n02252608	Aphis, genus Aphis
n02252799	apple aphid, green apple aphid, Aphis pomi
n02252972	blackfly, bean aphid, Aphis fabae
n02253127	greenfly
n02253264	green peach aphid
n02253391	pale chrysanthemum aphid
n02253494	ant cow
n02253592	Eriosoma, genus Eriosoma
n02253715	woolly aphid, woolly plant louse
n02253913	woolly apple aphid, American blight, Eriosoma lanigerum
n02254110	Prociphilus, genus Prociphilus
n02254246	woolly alder aphid, Prociphilus tessellatus
n02254370	Adelgidae, family Adelgidae
n02254531	Adelges, genus Adelges
n02254697	adelgid
n02254901	balsam woolly aphid, Adelges piceae
n02255023	spruce gall aphid, Adelges abietis
n02255144	Pineus, genus Pineus
n02255270	pine leaf aphid, Pineus pinifoliae
n02255391	woolly adelgid
n02255567	Phylloxeridae, family Phylloxeridae
n02255698	Phylloxera, genus Phylloxera
n02255855	grape louse, grape phylloxera, Phylloxera vitifoleae
n02256010	Psyllidae, family Psyllidae, Chermidae, family Chermidae
n02256172	jumping plant louse, psylla, psyllid
n02256365	Cicadidae, family Cicadidae
n02256542	genus Cicada
n02256656	cicada, cicala
n02256882	Tibicen, genus Tibicen
n02257003	dog-day cicada, harvest fly
n02257149	Magicicada, genus Magicicada
n02257284	seventeen-year locust, periodical cicada, Magicicada septendecim
n02257536	Cercopidae, family Cercopidae
n02257715	spittle insect, spittlebug
n02257985	froghopper
n02258065	Philaenus, genus Philaenus
n02258198	meadow spittlebug, Philaenus spumarius
n02258354	Aphrophora, genus Aphrophora
n02258508	pine spittlebug
n02258629	Saratoga spittlebug, Aphrophora saratogensis
n02258780	Cicadellidae, family Cicadellidae
n02258910	Jassidae, family Jassidae
n02259136	jassid
n02259212	leafhopper
n02259377	plant hopper, planthopper
n02259565	Membracidae, family Membracidae
n02259708	treehopper
n02259844	Fulgoridae, family Fulgoridae
n02259987	lantern fly, lantern-fly
n02260183	Psocoptera, order Psocoptera, Corrodentia, order Corrodentia
n02260421	psocopterous insect
n02260623	Psocidae, family Psocidae
n02260863	psocid
n02261063	bark-louse, bark louse
n02261184	Atropidae, family Atropidae
n02261286	Liposcelis, genus Liposcelis
n02261419	booklouse, book louse, deathwatch, Liposcelis divinatorius
n02261630	Trogium, genus Trogium
n02261757	common booklouse, Trogium pulsatorium
n02261883	Ephemeroptera, order Ephemeroptera, Ephemerida, order Ephemerida
n02262062	Plectophera
n02262178	ephemerid, ephemeropteran
n02262324	Ephemeridae, family Ephemeridae
n02262449	mayfly, dayfly, shadfly
n02262679	Plecoptera, order Plecoptera
n02262803	stonefly, stone fly, plecopteran
n02263038	Neuroptera, order Neuroptera
n02263378	neuropteron, neuropteran, neuropterous insect
n02263717	Myrmeleontidae, family Myrmeleontidae
n02263848	Myrmeleon, genus Myrmeleon
n02264021	ant lion, antlion, antlion fly
n02264232	doodlebug, ant lion, antlion
n02264363	lacewing, lacewing fly
n02264591	aphid lion, aphis lion
n02264734	Chrysopidae, family Chrysopidae
n02264885	green lacewing, chrysopid, stink fly
n02265076	goldeneye, golden-eyed fly
n02265177	Hemerobiidae, family Hemerobiidae
n02265330	brown lacewing, hemerobiid, hemerobiid fly
n02265471	Megaloptera, suborder Megaloptera
n02265717	Corydalidae, family Corydalidae
n02265860	Corydalus, genus Corydalus, Corydalis, genus Corydalis
n02266050	dobson, dobsonfly, dobson fly, Corydalus cornutus
n02266269	hellgrammiate, dobson
n02266421	fish fly, fish-fly
n02266580	Sialidae, family Sialidae
n02266732	Sialis, genus Sialis
n02266864	alderfly, alder fly, Sialis lutaria
n02267019	Raphidiidae, family Raphidiidae
n02267208	snakefly
n02267356	Mantispidae, family Mantispidae
n02267483	mantispid
n02267644	Sisyridae, family Sisyridae
n02267826	spongefly, spongillafly
n02267975	Odonata, order Odonata
n02268148	odonate
n02268334	Anisoptera, suborder Anisoptera
n02268443	dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk
n02268746	Zygoptera, suborder Zygoptera
n02268853	damselfly
n02269015	Trichoptera, order Trichoptera
n02269196	trichopterous insect, trichopteran, trichopteron
n02269340	caddis fly, caddis-fly, caddice fly, caddice-fly
n02269522	caseworm
n02269657	caddisworm, strawworm
n02269829	Thysanura, order Thysanura
n02270011	thysanuran insect, thysanuron
n02270200	bristletail
n02270326	Lepismatidae, family Lepismatidae
n02270473	Lepisma, genus Lepisma
n02270623	silverfish, Lepisma saccharina
n02270810	Thermobia, genus Thermobia
n02270945	firebrat, Thermobia domestica
n02271087	Machilidae, family Machilidae
n02271222	jumping bristletail, machilid
n02271427	Thysanoptera, order Thysanoptera
n02271570	thysanopter, thysanopteron, thysanopterous insect
n02271740	Thripidae, family Thripidae
n02271897	thrips, thrip, thripid
n02272152	Frankliniella, genus Frankliniella
n02272286	tobacco thrips, Frankliniella fusca
n02272428	genus Thrips
n02272552	onion thrips, onion louse, Thrips tobaci
n02272707	Dermaptera, order Dermaptera
n02272871	earwig
n02273120	Forficulidae, family Forficulidae
n02273254	Forficula, genus Forficula
n02273392	common European earwig, Forficula auricularia
n02273545	Lepidoptera, order Lepidoptera
n02274024	lepidopterous insect, lepidopteron, lepidopteran
n02274259	butterfly
n02274516	Nymphalidae, family Nymphalidae
n02274822	nymphalid, nymphalid butterfly, brush-footed butterfly, four-footed butterfly
n02275372	Nymphalis, genus Nymphalis
n02275560	mourning cloak, mourning cloak butterfly, Camberwell beauty, Nymphalis antiopa
n02275773	tortoiseshell, tortoiseshell butterfly
n02275921	Vanessa, genus Vanessa
n02276078	painted beauty, Vanessa virginiensis
n02276258	admiral
n02276355	red admiral, Vanessa atalanta
n02276527	Limenitis, genus Limenitis
n02276749	white admiral, Limenitis camilla
n02276902	banded purple, white admiral, Limenitis arthemis
n02277094	red-spotted purple, Limenitis astyanax
n02277268	viceroy, Limenitis archippus
n02277422	anglewing
n02277556	Satyridae, family Satyridae
n02277742	ringlet, ringlet butterfly
n02277895	Polygonia, genus Polygonia
n02278024	comma, comma butterfly, Polygonia comma
n02278210	fritillary
n02278343	Spyeria, genus Spyeria
n02278463	silverspot
n02278601	Argynnis, genus Argynnis
n02278704	Apatura, genus Apatura
n02278839	emperor butterfly, emperor
n02278980	purple emperor, Apatura iris
n02279127	Inachis, genus Inachis
n02279257	peacock, peacock butterfly, Inachis io
n02279442	Danaidae, family Danaidae
n02279637	danaid, danaid butterfly
n02279819	Danaus, genus Danaus
n02279972	monarch, monarch butterfly, milkweed butterfly, Danaus plexippus
n02280223	Pieridae, family Pieridae
n02280458	pierid, pierid butterfly
n02280649	cabbage butterfly
n02280845	Pieris, genus Pieris
n02281015	small white, Pieris rapae
n02281136	large white, Pieris brassicae
n02281267	southern cabbage butterfly, Pieris protodice
n02281406	sulphur butterfly, sulfur butterfly
n02281552	Lycaenidae, family Lycaenidae
n02281787	lycaenid, lycaenid butterfly
n02281987	Lycaena, genus Lycaena
n02282257	blue
n02282385	copper
n02282553	American copper, Lycaena hypophlaeas
n02282716	Strymon, genus Strymon
n02282903	hairstreak, hairstreak butterfly
n02283077	Strymon melinus
n02283201	moth
n02283617	moth miller, miller
n02283728	Tortricidae, family Tortricidae
n02283951	tortricid, tortricid moth
n02284224	leaf roller, leaf-roller
n02284367	genus Tortrix
n02284513	Homona, genus Homona
n02284611	tea tortrix, tortrix, Homona coffearia
n02284771	Argyrotaenia, genus Argyrotaenia
n02284884	orange tortrix, tortrix, Argyrotaenia citrana
n02285052	Carpocapsa, genus Carpocapsa
n02285179	codling moth, codlin moth, Carpocapsa pomonella
n02285359	Lymantriidae, family Lymantriidae
n02285548	lymantriid, tussock moth
n02285801	tussock caterpillar
n02285909	Lymantria, genus Lymantria
n02286089	gypsy moth, gipsy moth, Lymantria dispar
n02286271	Euproctis, genus Euproctis
n02286425	browntail, brown-tail moth, Euproctis phaeorrhoea
n02286654	gold-tail moth, Euproctis chrysorrhoea
n02286815	Geometridae, family Geometridae
n02287004	geometrid, geometrid moth
n02287204	Paleacrita, genus Paleacrita
n02287352	Paleacrita vernata
n02287476	Alsophila, genus Alsophila
n02287622	Alsophila pometaria
n02287799	cankerworm
n02287987	spring cankerworm
n02288122	fall cankerworm
n02288268	measuring worm, inchworm, looper
n02288473	Pyralidae, family Pyralidae, Pyralididae, family Pyralididae
n02288789	pyralid, pyralid moth
n02289061	Pyralis, genus Pyralis
n02289177	Galleria, genus Galleria
n02289307	bee moth, wax moth, Galleria mellonella
n02289466	Pyrausta, genus Pyrausta
n02289610	corn borer, European corn borer moth, corn borer moth, Pyrausta nubilalis
n02289845	Anagasta, genus Anagasta
n02289988	Mediterranean flour moth, Anagasta kuehniella
n02290153	Ephestia, genus Ephestia
n02290340	tobacco moth, cacao moth, Ephestia elutella
n02290521	Cadra, genus Cadra
n02290664	almond moth, fig moth, Cadra cautella
n02290870	raisin moth, Cadra figulilella
n02291024	Tineoidea, superfamily Tineoidea
n02291220	tineoid, tineoid moth
n02291391	Tineidae, family Tineidae
n02291572	tineid, tineid moth
n02291748	clothes moth
n02291940	Tinea, genus Tinea
n02292085	casemaking clothes moth, Tinea pellionella
n02292272	Tineola, genus Tineola
n02292401	webbing clothes moth, webbing moth, Tineola bisselliella
n02292564	Trichophaga, genus Trichophaga
n02292692	carpet moth, tapestry moth, Trichophaga tapetzella
n02292850	Gracilariidae, Gracillariidae, family Gracilariidae
n02292980	gracilariid, gracilariid moth
n02293135	Gelechiidae, family Gelechiidae
n02293352	gelechiid, gelechiid moth
n02293560	Gelechia, genus Gelechia
n02293715	Gelechia gossypiella
n02293868	grain moth
n02293974	Sitotroga, genus Sitotroga
n02294097	angoumois moth, angoumois grain moth, Sitotroga cerealella
n02294279	Phthorimaea, genus Phthorimaea
n02294407	potato moth, potato tuber moth, splitworm, Phthorimaea operculella
n02294577	potato tuberworm, Phthorimaea operculella
n02294761	Noctuidae, family Noctuidae
n02295064	noctuid moth, noctuid, owlet moth
n02295390	cutworm
n02295570	Noctua, genus Noctua
n02295717	Catacala, genus Catacala
n02295870	underwing
n02296021	red underwing, Catocala nupta
n02296150	Cerapteryx, genus Cerapteryx
n02296276	antler moth, Cerapteryx graminis
n02296480	Heliothis, genus Heliothis
n02296612	heliothis moth, Heliothis zia
n02296756	Chorizagrotis, genus Chorizagrotis
n02296912	army cutworm, Chorizagrotis auxiliaris
n02297127	Pseudaletia, genus Pseudaletia
n02297294	armyworm, Pseudaletia unipuncta
n02297442	armyworm, army worm, Pseudaletia unipuncta
n02297635	Spodoptera, genus Spodoptera
n02297819	Spodoptera exigua
n02297938	beet armyworm, Spodoptera exigua
n02298095	Spodoptera frugiperda
n02298218	fall armyworm, Spodoptera frugiperda
n02298379	Sphingidae, family Sphingidae
n02298541	hawkmoth, hawk moth, sphingid, sphinx moth, hummingbird moth
n02298833	Manduca, genus Manduca
n02299039	Manduca sexta
n02299157	tobacco hornworm, tomato worm, Manduca sexta
n02299378	Manduca quinquemaculata
n02299505	tomato hornworm, potato worm, Manduca quinquemaculata
n02299715	Acherontia, genus Acherontia
n02299846	death's-head moth, Acherontia atropos
n02300018	Bombycidae, family Bombycidae
n02300173	bombycid, bombycid moth, silkworm moth
n02300378	Bombyx, genus Bombyx
n02300554	domestic silkworm moth, domesticated silkworm moth, Bombyx mori
n02300797	silkworm
n02301072	Saturniidae, family Saturniidae
n02301452	saturniid, saturniid moth
n02301782	Saturnia, genus Saturnia
n02301935	emperor, emperor moth, Saturnia pavonia
n02302124	Eacles, genus Eacles
n02302244	imperial moth, Eacles imperialis
n02302459	giant silkworm moth, silkworm moth
n02302620	silkworm, giant silkworm, wild wilkworm
n02302853	Actias, genus Actias
n02302969	luna moth, Actias luna
n02303167	Hyalophora, genus Hyalophora
n02303284	cecropia, cecropia moth, Hyalophora cecropia
n02303448	Samia, genus Samia
n02303585	cynthia moth, Samia cynthia, Samia walkeri
n02303777	ailanthus silkworm, Samia cynthia
n02303917	Automeris, genus Automeris
n02304036	io moth, Automeris io
n02304229	Antheraea, genus Antheraea
n02304432	polyphemus moth, Antheraea polyphemus
n02304657	pernyi moth, Antheraea pernyi
n02304797	tussah, tusseh, tussur, tussore, tusser, Antheraea mylitta
n02304967	Atticus, genus Atticus
n02305085	atlas moth, Atticus atlas
n02305245	Arctiidae, family Arctiidae
n02305407	arctiid, arctiid moth
n02305636	tiger moth
n02305799	Callimorpha, genus Callimorpha
n02305929	cinnabar, cinnabar moth, Callimorpha jacobeae
n02306159	Lasiocampidae, family Lasiocampidae
n02306433	lasiocampid, lasiocampid moth
n02306672	Lasiocampa, genus Lasiocampa
n02306825	eggar, egger
n02307007	Malacosoma, genus Malacosoma
n02307176	tent-caterpillar moth, Malacosoma americana
n02307325	tent caterpillar
n02307515	tent-caterpillar moth, Malacosoma disstria
n02307681	forest tent caterpillar, Malacosoma disstria
n02307910	lappet, lappet moth
n02308033	lappet caterpillar
n02308139	webworm
n02308325	Hyphantria, genus Hyphantria
n02308471	webworm moth
n02308618	Hyphantria cunea
n02308735	fall webworm, Hyphantria cunea
n02308852	Loxostege, genus Loxostege
n02308998	Loxostege similalis
n02309120	garden webworm, Loxostege similalis
n02309242	instar
n02309337	caterpillar
n02309841	corn borer, Pyrausta nubilalis
n02310000	bollworm
n02310149	pink bollworm, Gelechia gossypiella
n02310334	corn earworm, cotton bollworm, tomato fruitworm, tobacco budworm, vetchworm, Heliothis zia
n02310585	cabbageworm, Pieris rapae
n02310717	woolly bear, woolly bear caterpillar
n02310941	woolly bear moth
n02311060	larva
n02311617	nymph
n02311748	leptocephalus
n02311879	bot
n02312006	grub
n02312175	maggot
n02312325	leatherjacket
n02312427	pupa
n02312640	chrysalis
n02312744	cocoon
n02312912	imago
n02313008	queen
n02313195	Phoronida, Phoronidea, phylum Phoronida
n02313360	phoronid
n02313495	Bryozoa, phylum Bryozoa, polyzoa
n02313709	bryozoan, polyzoan, sea mat, sea moss, moss animal
n02314001	Ectoprocta, phylum Ectoprocta
n02314158	ectoproct
n02314321	Entoprocta, phylum Entoprocta, Endoprocta
n02314492	entoproct
n02314717	Cycliophora, phylum Cycliophora
n02315024	Symbion pandora
n02315309	Brachiopoda, phylum Brachiopoda
n02315487	brachiopod, lamp shell, lampshell
n02315696	Sipuncula, phylum Sipuncula
n02315821	peanut worm, sipunculid
n02316038	echinoderm family
n02316180	echinoderm genus
n02316392	Echinodermata, phylum Echinodermata
n02316707	echinoderm
n02317025	ambulacrum
n02317212	Asteroidea, class Asteroidea
n02317335	starfish, sea star
n02317488	Ophiuroidea, class Ophiuroidea
n02317653	Ophiurida, subclass Ophiurida
n02317781	brittle star, brittle-star, serpent star
n02317983	Euryalida, subclass Euryalida
n02318167	basket star, basket fish
n02318437	Euryale, genus Euryale
n02318538	Astrophyton, genus Astrophyton
n02318687	Astrophyton muricatum
n02318798	Gorgonocephalus, genus Gorgonocephalus
n02318915	Echinoidea, class Echinoidea
n02319095	sea urchin
n02319308	edible sea urchin, Echinus esculentus
n02319423	Exocycloida, order Exocycloida
n02319555	sand dollar
n02319689	Spatangoida, order Spatangoida
n02319829	heart urchin
n02319967	Crinoidea, class Crinoidea
n02320127	crinoid
n02320339	Ptilocrinus, genus Ptilocrinus
n02320465	sea lily
n02320621	Antedonidae, family Antedonidae
n02320769	Comatulidae, family Comatulidae
n02320888	Antedon, genus Antedon
n02321062	Comatula, genus Comatula
n02321170	feather star, comatulid
n02321342	Holothuroidea, class Holothuroidea
n02321529	sea cucumber, holothurian
n02321759	Holothuridae, family Holothuridae
n02321903	Holothuria, genus Holothuria
n02322047	trepang, Holothuria edulis
n02322213	foot, invertebrate foot
n02322387	tube foot
n02322624	roe
n02322712	milt
n02322817	splint bone
n02322992	Duplicidentata
n02323186	Lagomorpha, order Lagomorpha
n02323449	lagomorph, gnawing mammal
n02323715	Leporidae, family Leporidae
n02323902	leporid, leporid mammal
n02324045	rabbit, coney, cony
n02324431	rabbit ears
n02324514	lapin
n02324587	bunny, bunny rabbit
n02324717	Oryctolagus, genus Oryctolagus
n02324850	European rabbit, Old World rabbit, Oryctolagus cuniculus
n02325211	Sylvilagus, genus Sylvilagus
n02325366	wood rabbit, cottontail, cottontail rabbit
n02325722	eastern cottontail, Sylvilagus floridanus
n02325884	swamp rabbit, canecutter, swamp hare, Sylvilagus aquaticus
n02326074	marsh hare, swamp rabbit, Sylvilagus palustris
n02326237	Lepus, genus Lepus
n02326432	hare
n02326763	leveret
n02326862	European hare, Lepus europaeus
n02327028	jackrabbit
n02327175	white-tailed jackrabbit, whitetail jackrabbit, Lepus townsendi
n02327435	blacktail jackrabbit, Lepus californicus
n02327656	polar hare, Arctic hare, Lepus arcticus
n02327842	snowshoe hare, snowshoe rabbit, varying hare, Lepus americanus
n02328009	Belgian hare, leporide
n02328150	Angora, Angora rabbit
n02328270	Ochotonidae, family Ochotonidae
n02328429	pika, mouse hare, rock rabbit, coney, cony
n02328662	Ochotona, genus Ochotona
n02328820	little chief hare, Ochotona princeps
n02328942	collared pika, Ochotona collaris
n02329093	Rodentia, order Rodentia
n02329401	rodent, gnawer
n02330245	mouse
n02330582	Myomorpha, suborder Myomorpha
n02330830	Muroidea, superfamily Muroidea
n02331046	rat
n02331309	pocket rat
n02331479	Muridae, family Muridae
n02331842	murine
n02331960	Mus, genus Mus
n02332156	house mouse, Mus musculus
n02332315	Micromyx, genus Micromyx
n02332447	harvest mouse, Micromyx minutus
n02332606	Apodemus, genus Apodemus
n02332755	field mouse, fieldmouse
n02332954	nude mouse
n02333190	European wood mouse, Apodemus sylvaticus
n02333368	Rattus, genus Rattus
n02333546	brown rat, Norway rat, Rattus norvegicus
n02333733	wharf rat
n02333819	sewer rat
n02333909	black rat, roof rat, Rattus rattus
n02334079	Nesokia, genus Nesokia
n02334201	bandicoot rat, mole rat
n02334337	Conilurus, genus Conilurus
n02334460	jerboa rat
n02334609	Notomys, genus Notomys
n02334728	kangaroo mouse
n02334849	Hydromyinae, subfamily Hydromyinae
n02335007	Hydromys, genus Hydromys
n02335127	water rat
n02335231	beaver rat
n02335349	Cricetidae, family Cricetidae
n02336011	New World mouse
n02336129	Reithrodontomys, genus Reithrodontomys
n02336275	American harvest mouse, harvest mouse
n02336451	Peromyscus, genus Peromyscus
n02336641	wood mouse
n02336826	white-footed mouse, vesper mouse, Peromyscus leucopus
n02337001	deer mouse, Peromyscus maniculatus
n02337171	cactus mouse, Peromyscus eremicus
n02337332	cotton mouse, Peromyscus gossypinus
n02337480	Baiomys, genus Baiomys
n02337598	pygmy mouse, Baiomys taylori
n02337774	Onychomys, genus Onychomys
n02337902	grasshopper mouse
n02338029	Ondatra, genus Ondatra
n02338145	muskrat, musquash, Ondatra zibethica
n02338319	Neofiber, genus Neofiber
n02338449	round-tailed muskrat, Florida water rat, Neofiber alleni
n02338592	Sigmodon, genus Sigmodon
n02338722	cotton rat, Sigmodon hispidus
n02338901	wood rat, wood-rat
n02339282	dusky-footed wood rat
n02339376	vole, field mouse
n02339768	Neotoma, genus Neotoma
n02339922	packrat, pack rat, trade rat, bushytail woodrat, Neotoma cinerea
n02340186	dusky-footed woodrat, Neotoma fuscipes
n02340358	eastern woodrat, Neotoma floridana
n02340521	Oryzomys, genus Oryzomys
n02340640	rice rat, Oryzomys palustris
n02340813	Pitymys, genus Pitymys
n02340930	pine vole, pine mouse, Pitymys pinetorum
n02341108	Microtus, genus Microtus
n02341288	meadow vole, meadow mouse, Microtus pennsylvaticus
n02341475	water vole, Richardson vole, Microtus richardsoni
n02341616	prairie vole, Microtus ochrogaster
n02341805	Arvicola, genus Arvicola
n02341974	water vole, water rat, Arvicola amphibius
n02342109	Clethrionomys, genus Clethrionomys
n02342250	red-backed mouse, redback vole
n02342413	genus Phenacomys
n02342534	phenacomys
n02342727	Cricetus, genus Cricetus
n02342885	hamster
n02343058	Eurasian hamster, Cricetus cricetus
n02343187	Mesocricetus, genus Mesocricetus
n02343320	golden hamster, Syrian hamster, Mesocricetus auratus
n02343487	Gerbillinae, subfamily Gerbillinae
n02343633	Gerbillus, genus Gerbillus
n02343772	gerbil, gerbille
n02344006	Meriones, genus Meriones
n02344175	jird
n02344270	tamarisk gerbil, Meriones unguiculatus
n02344408	sand rat, Meriones longifrons
n02344528	lemming
n02344785	Lemmus, genus lemmus
n02344918	European lemming, Lemmus lemmus
n02345078	brown lemming, Lemmus trimucronatus
n02345213	Myopus, genus Myopus
n02345340	grey lemming, gray lemming, red-backed lemming
n02345471	Dicrostonyx, genus Dicrostonyx
n02345600	pied lemming
n02345774	Hudson bay collared lemming, Dicrostonyx hudsonius
n02345890	Synaptomys, genus Synaptomys
n02345997	southern bog lemming, Synaptomys cooperi
n02346170	northern bog lemming, Synaptomys borealis
n02346315	Hystricomorpha, suborder Hystricomorpha
n02346627	porcupine, hedgehog
n02346823	Hystricidae, family Hystricidae
n02346998	Old World porcupine
n02347140	Atherurus, genus Atherurus
n02347274	brush-tailed porcupine, brush-tail porcupine
n02347443	Trichys, genus Trichys
n02347573	long-tailed porcupine, Trichys lipura
n02347744	New World porcupine
n02347865	Erethizontidae, family Erethizontidae
n02348036	Erethizon, genus Erethizon
n02348173	Canada porcupine, Erethizon dorsatum
n02348405	Heteromyidae, family Heteromyidae
n02348788	pocket mouse
n02349040	Perognathus, genus Perognathus
n02349205	silky pocket mouse, Perognathus flavus
n02349390	plains pocket mouse, Perognathus flavescens
n02349557	hispid pocket mouse, Perognathus hispidus
n02349730	Liomys, genus Liomys
n02349847	Mexican pocket mouse, Liomys irroratus
n02349980	Dipodomys, genus Dipodomys
n02350105	kangaroo rat, desert rat, Dipodomys phillipsii
n02350357	Ord kangaroo rat, Dipodomys ordi
n02350537	Microdipodops, genus Microdipodops
n02350670	kangaroo mouse, dwarf pocket rat
n02350845	Zapodidae, family Zapodidae
n02350989	jumping mouse
n02351212	Zapus, genus Zapus
n02351343	meadow jumping mouse, Zapus hudsonius
n02351518	Dipodidae, family Dipodidae
n02351686	Dipus, genus Dipus
n02351870	jerboa
n02352002	typical jerboa
n02352175	Jaculus, genus Jaculus
n02352290	Jaculus jaculus
n02352390	Gliridae, family Gliridae
n02352591	dormouse
n02352804	Glis, genus Glis
n02352932	loir, Glis glis
n02353037	Muscardinus, genus Muscardinus
n02353172	hazel mouse, Muscardinus avellanarius
n02353297	Eliomys, genus Eliomys
n02353411	lerot
n02353529	Geomyidae, family Geomyidae
n02353709	Geomys, genus Geomys
n02353861	gopher, pocket gopher, pouched rat
n02354162	plains pocket gopher, Geomys bursarius
n02354320	southeastern pocket gopher, Geomys pinetis
n02354470	Thomomys, genus Thomomys
n02354621	valley pocket gopher, Thomomys bottae
n02354781	northern pocket gopher, Thomomys talpoides
n02354950	Sciuromorpha, suborder Sciuromorpha
n02355227	squirrel
n02355477	tree squirrel
n02355711	Sciuridae, family Sciuridae
n02356108	Sciurus, genus Sciurus
n02356381	eastern grey squirrel, eastern gray squirrel, cat squirrel, Sciurus carolinensis
n02356612	western grey squirrel, western gray squirrel, Sciurus griseus
n02356798	fox squirrel, eastern fox squirrel, Sciurus niger
n02356977	black squirrel
n02357111	red squirrel, cat squirrel, Sciurus vulgaris
n02357280	Tamiasciurus, genus Tamiasciurus
n02357401	American red squirrel, spruce squirrel, red squirrel, Sciurus hudsonicus, Tamiasciurus hudsonicus
n02357585	chickeree, Douglas squirrel, Tamiasciurus douglasi
n02357741	Citellus, genus Citellus, Spermophilus, genus Spermophilus
n02357911	antelope squirrel, whitetail antelope squirrel, antelope chipmunk, Citellus leucurus
n02358091	ground squirrel, gopher, spermophile
n02358390	mantled ground squirrel, Citellus lateralis
n02358584	suslik, souslik, Citellus citellus
n02358712	flickertail, Richardson ground squirrel, Citellus richardsoni
n02358890	rock squirrel, Citellus variegatus
n02359047	Arctic ground squirrel, parka squirrel, Citellus parryi
n02359204	Cynomys, genus Cynomys
n02359324	prairie dog, prairie marmot
n02359556	blacktail prairie dog, Cynomys ludovicianus
n02359667	whitetail prairie dog, Cynomys gunnisoni
n02359775	Tamias, genus Tamias
n02359915	eastern chipmunk, hackee, striped squirrel, ground squirrel, Tamias striatus
n02360135	Eutamias, genus Eutamias
n02360282	chipmunk
n02360480	baronduki, baranduki, barunduki, burunduki, Eutamius asiaticus, Eutamius sibiricus
n02360643	Glaucomys, genus Glaucomys
n02360781	American flying squirrel
n02360933	southern flying squirrel, Glaucomys volans
n02361090	northern flying squirrel, Glaucomys sabrinus
n02361222	Marmota, genus Marmota
n02361337	marmot
n02361587	groundhog, woodchuck, Marmota monax
n02361706	hoary marmot, whistler, whistling marmot, Marmota caligata
n02361850	yellowbelly marmot, rockchuck, Marmota flaviventris
n02362025	Petauristidae, subfamily Petauristidae
n02362194	Asiatic flying squirrel
n02362420	Petaurista, genus Petaurista
n02362569	taguan, flying marmot, flying cat, Petaurista petaurista
n02362721	Castoridae, family Castoridae
n02362862	Castor, genus Castor
n02363005	beaver
n02363245	Old World beaver, Castor fiber
n02363351	New World beaver, Castor canadensis
n02363511	Castoroides, genus Castoroides
n02363681	Aplodontiidae, family Aplodontiidae
n02363818	Aplodontia, genus Aplodontia
n02363996	mountain beaver, sewellel, Aplodontia rufa
n02364221	Caviidae, family Caviidae
n02364377	Cavia, genus Cavia
n02364520	cavy
n02364673	guinea pig, Cavia cobaya
n02364840	aperea, wild cavy, Cavia porcellus
n02364989	Dolichotis, genus Dolichotis
n02365108	mara, Dolichotis patagonum
n02365244	Hydrochoeridae, family Hydrochoeridae
n02365356	Hydrochoerus, genus Hydrochoerus
n02365480	capybara, capibara, Hydrochoerus hydrochaeris
n02365672	Dasyproctidae, family Dasyproctidae
n02365848	Dasyprocta, genus Dasyprocta
n02366002	agouti, Dasyprocta aguti
n02366203	Cuniculus, genus Cuniculus
n02366301	paca, Cuniculus paca
n02366453	Stictomys, genus Stictomys
n02366579	mountain paca
n02366702	Capromyidae, family Capromyidae
n02366825	Myocastor, genus Myocastor
n02366959	coypu, nutria, Myocastor coypus
n02367131	Chinchillidae, family Chinchillidae
n02367360	genus Chinchilla
n02367492	chinchilla, Chinchilla laniger
n02367678	Lagidium, genus Lagidium
n02367812	mountain chinchilla, mountain viscacha
n02367993	Lagostomus, genus Lagostomus
n02368116	viscacha, chinchillon, Lagostomus maximus
n02368280	Abrocoma, genus Abrocoma
n02368399	abrocome, chinchilla rat, rat chinchilla
n02368563	Spalacidae, family Spalacidae
n02368687	Spalax, genus Spalax
n02368821	mole rat
n02369012	Bathyergidae, family Bathyergidae
n02369170	Bathyergus, genus Bathyergus
n02369293	mole rat
